name,bg_img_link,mark,category,rating,price,address,role,city,int_price
Pallavi Mandap,https://cdn.venuelook.com/uploads/space_31840/1654606604_204x158.png,"Rasulgarh, Bhubaneswar",banquet-halls,2.0,Rs. 450 price per plat,"With a sprawling lawn plus enormous banquet hall, Pallavi Mandap, Bhubaneswar is the perfect venue to host your wedding and reception ceremony. You can certainly bank on it to let you play host to all of your accumulated kith and kin.Pallavi Mandap BBSR lies in the vicinity of Badshahi Road, within the Jharapada region. This well-connected location is easily accessible and your guests can reach here using multiple modes of commutation. The banquet hall present over here is opulent and colorful.",Lawn,bhubaneswar,450
Pallavi Mandap,https://cdn.venuelook.com/uploads/space_31841/1654607300_204x158.png,"Rasulgarh, Bhubaneswar",banquet-halls,2.0,Rs. 450 price per plat,"With a sprawling lawn plus enormous banquet hall, Pallavi Mandap, Bhubaneswar is the perfect venue to host your wedding and reception ceremony. You can certainly bank on it to let you play host to all of your accumulated kith and kin.Pallavi Mandap BBSR lies in the vicinity of Badshahi Road, within the Jharapada region. This well-connected location is easily accessible and your guests can reach here using multiple modes of commutation. The banquet hall present over here is opulent and colorful.",Hall,bhubaneswar,450
Miland Palace,https://cdn.venuelook.com/uploads/space_31855/1654684374_204x158.png,"Laxmisagar, Bhubaneswar",banquet-halls,2.0,Rs. 650 price per plat,"Miland Palace is a beautiful venue destination for organizing your wedding ceremonies. They are located in Bhubaneswar. The venue has a kind of ambiance which will definitely steal your gaze and make you fixated at their interior decor and infrastructure. The ambiance style is contemporary with a touch of minimalism and sophistication. They are a team of dedicated, passionate and hardworking staff, which strive to fulfill their customers needs. Want a perfect, dreamy wedding? Book the venue and cherish your memories forever. Miland Palace is an enchanting wedding venue, which will make you crave for more.",NONE,bhubaneswar,650
Bizz Tamanna Resort,https://cdn.venuelook.com/uploads/space_31868/1654769954_204x158.png,"Lingipur, Bhubaneswar",banquet-halls,2.0,Rs. 550 price per plat,"Find the perfect combination of modernity and tradition, at Bizz-Tamanna Resort. Set in a picturesque harmony of comfort and luxury, Bizz-Tamanna Resort in Bhubaneswar offers you unmatched hospitality with a thoughtfully curated venue for your special occasion. They take pride in providing a venue so beautiful to behold and in taking care of their guests genuinely so that each event held there is an experience to cherish.",Lawn,bhubaneswar,550
Niladri Mandap,https://cdn.venuelook.com/uploads/space_31871/1654773620_204x158.png,"Pokhariput, Bhubaneswar",banquet-halls,2.0,Rs. 550 price per plat,"Niladri Mandap, Pokhariput, Bhubaneswar, is considered to be one of the most traditional wedding venues in the town. Located near Sundarpada Hospital, this venue is easier and convenient for invitees to commute. This venue can ideally be considered as your one-stop destination for all your wedding ceremonies, rituals, special occasions, social events, and intimate gatherings.",Hall 2,bhubaneswar,550
Km Convention,https://cdn.venuelook.com/uploads/space_31615/1653563581_204x158.png,"Bargarh, Bhubaneswar",banquet-halls,2.0,Rs. 950 price per plat,"KM Convention, Baragarh, Bhubaneswar is a stunning venue to host any type of grand event. It is an absolutely classy venue with chic and modern interiors. Located in the heart of the city, the venue is easily accessible and makes it easier for your guests to arrive at your event on time. It is one of the most preferred venues to host events such as a wedding, reception, engagement, haldi, anniversary, birthday and so on.",The Kohinoor,bhubaneswar,950
Km Convention,https://cdn.venuelook.com/uploads/space_31618/1653564797_204x158.png,"Bargarh, Bhubaneswar",banquet-halls,2.0,Rs. 950 price per plat,"KM Convention, Baragarh, Bhubaneswar is a stunning venue to host any type of grand event. It is an absolutely classy venue with chic and modern interiors. Located in the heart of the city, the venue is easily accessible and makes it easier for your guests to arrive at your event on time. It is one of the most preferred venues to host events such as a wedding, reception, engagement, haldi, anniversary, birthday and so on.",Hall 4,bhubaneswar,950
Rj Lawns,https://cdn.venuelook.com/uploads/space_31620/1653566477_204x158.png,"Patia, Bhubaneswar",banquet-halls,2.0,Rs. 750 price per plat,"For a lavish outdoor celebration, nothing can beat RJ Lawns Marriage Mandap, Bhubaneswar. Located near the very popular St. Xavier International School, this venue enjoys a prime locale. The venue has a lush green lawn which is ideal for an outdoor reception and can accommodate mid-sized crowds for your function. It also offers an elite banquet hall to host your pre-wedding festivities or corporate seminars in a formal and courteous manner.",Hall,bhubaneswar,750
Trishna Resort And Banquet,https://cdn.venuelook.com/uploads/space_31624/1653630532_204x158.png,"Patia, Bhubaneswar",banquet-halls,2.0,Rs. 650 price per plat,"Trishna Resort, Chandrasekharpur, Bhubaneshwar, is one of the most classy venues and ideally be considered as your one-stop destination for all your wedding ceremonies, rituals, special occasions, social events, and intimate gatherings. It is located close to KIIT Chowk, making it easily accessible, too.",Hall 1,bhubaneswar,650
Pipul Padmaja Premium Hotel And Convention,https://cdn.venuelook.com/uploads/space_31643/1653644002_204x158.png,"Chandrasekharpur, Bhubaneswar",banquet-halls,2.0,Rs. 1450 price per plat,"Padmaja Premium Hotel and Convention, Chandrasekharpur, Bhubaneswar, offers stylish interiors and quality services. The hotel has trained staff equipped to plan your functions effortlessly. Located near Acharya Harihar Mahavidyalaya, this venue isn't hard to locate. You can consider this venue as your one-stop destination for pre-wedding ceremonies, rituals, special occasions, social events, corporate engagements, and cultural gatherings.",Hall 2,bhubaneswar,1450
Asha Imperial,https://cdn.venuelook.com/uploads/space_31653/1653647858_204x158.png,"Khandagiri, Bhubaneswar",banquet-halls,2.0,Rs. 550 price per plat,"Asha Imperial, Bhubaneswar, is the perfect embodiment of the idea of dream wedding venues. It houses a stunning lawn with a well-manicured layer of greenery and a small yet sophisticated banquet hall. The venue lets you comfortably host your guest list of multiples of hundred. It is located precisely 26 minutes away from both Lingaraj Temple Road Railway Station and Biju Patnaik International Airport and half an hour away from Bhubaneswar Station, which makes it feasible for all your guests to arrive at the venue.",Hall,bhubaneswar,550
Hotel Suraj Palace,https://cdn.venuelook.com/uploads/space_31671/1653729835_204x158.png,"Chandrasekharpur, Bhubaneswar",banquet-halls,2.0,Rs. 1300 price per plat,"Â The banquets in Hotel Suraj Palace Bhubaneswar can ideally be considered as your one-stop destination for all your wedding ceremonies, rituals, special occasions, social events, and intimate gatherings. It gives you the perfect space to celebrate sangeet, mehndi, and ring ceremonies, lavish birthday parties, wedding anniversaries, social get-togethers, fundraisers, promotion parties, seminars, team-building activities, conferences, and board meetings.",Hall 1,bhubaneswar,1300
Hotel Burooj,https://cdn.venuelook.com/uploads/space_31701/1702639425_204x158.png,"Edappally, Kochi",banquet-halls,4.8,Rs. 600 price per plat,"Near Lulu Mall - Edappally Mall,
Hotel Burooj, Edappally, Kochi, offers an apt and cost-saving banquet hall in the vicinity of Edappally fitting for hosting small-sized gatherings such as birthdays, wedding anniversaries, pre-wedding ceremonies, and corporate events. The staff of Hotel Burooj are well-trained and courteous and makes sure the host is completely relaxed during the time of the event and enjoying with the rest of the guests. The in-house team of chefs at Hotel Burooj are known to make the best multi-cuisine vegetarian and non-vegetaian delicacies for all your guests that will make all drool. The decor team of the venue is extremely talented and is known to make the host happy with their decor skills.",NONE,kochi,600
Diana Heights,https://cdn.venuelook.com/uploads/space_13237/1513837631_204x158.png,"Nedumbassery, Kochi",banquet-halls,4.0,Rs. 550 price per plat,"Looking for a splendid get together?Â Â  This
conference hall is the smartest choice to stage similar events. It can
accommodate gatherings of small groups to events for around 50 people.
Runway hall is known for hosting the most trend setting parties. It
offers versatile options for conferences, meetings, banqueting, gala
social events, pre & post wedding events and receptions.",Runway hall,kochi,550
The Senate Hotel,https://cdn.venuelook.com/uploads/space_13257/1513850879_204x158.png,"Ernakulam, Kochi",banquet-halls,3.0,Rs. 750 price per plat,"The Senate hotel combines comfort and beauty to create spaces
uniquely meant for you. We have well appointed rooms, in-house
restaurants and several other services that give you a wide range of
options to choose from and make your stay more than comfortable.Tucked
away in a quiet area in the middle of the city, the rooms here offer a
complete retreat from the hustle and bustle of the traffic swarming
within a few yards of you. The subtle ambience, the contemporary decor
and delectable cuisine speaks an exquisite tale.",Banquet Hall,kochi,750
Spice Heritage,https://cdn.venuelook.com/uploads/space_13288/1513938537_204x158.png,"Mattancherry, Kochi",banquet-halls,3.0,Rs. 550 price per plat,"Are you looking to host events like parties and other social gatherings.We
have the perfect banquet hall for you to host such events. Our spacious
and well-equipped banquet hall can accommodate about 250 to 300
guests.",Banquet Hall,kochi,550
Hotel Kabani Regency,https://cdn.venuelook.com/uploads/space_13296/1513940033_204x158.png,"Karimugal, Kochi",banquet-halls,3.0,Rs. 325 price per plat,"For a large gathering we have our hall, ASOKA opened to you with a seating arrangement for 300 people. A small group of 100 people can be accommodated in a yet another hall CHANAKYA. Small business deals can also be made in our 10-seater hall",Chanakya,kochi,325
The Woods Manor,https://cdn.venuelook.com/uploads/space_13328/1514276169_204x158.png,"Marine Drive, Kochi",banquet-halls,3.0,Rs. 450 price per plat,"The larger of the two halls, the Royal 7 Hall is a regal and
fully-facilitated banquet hall that can accommodate an audience of
aÂ maximum of 225 people.",Royal 7 Hall,kochi,450
Crowne Plaza Kochi,https://cdn.venuelook.com/uploads/space_13351/1514287295_204x158.png,"Maradu, Kochi",banquet-halls,5.0,Rs. 2000 price per plat,"The design of the Meeting Rooms is modern and
contemporary with ergonomic chair, absolutely sound proof partition.
Meeting Rooms have daylight with blackout curtains,individual
light,sound & temperature control with separate entrance for the
event guests.",Grand 1,kochi,2000
Holiday Inn Cochin,https://cdn.venuelook.com/uploads/space_13388/1514369133_204x158.png,"Vennala, Kochi",banquet-halls,5.0,Rs. 2200 price per plat,"Holiday Inn Cochin has contemporary designed 212 spacious rooms and suites. The features include Work Smart space with ergonomic chair, high-speed Internet connectivity, iPod docking station, tea/coffee maker and in-room safe which are key essentials for business and leisure travelers. We offer wide variety of dining experience with five food and beverage outlets. Masala, our full service buffet restaurant serves a sumptuous spread of international, Indian and local Kerala cuisine. Deli KC is the 24-hour coffee shop which offers a good selection of quick eats and various flavors of coffee/tea. Roma, the Italian specialty restaurant with live Pizzeria offers an a la carte menu for dinner, and lunch on weekends. Stadia, the sports bar is a great place to unwind over a drink with friends, play snooker and enjoy good music.",Periyar,kochi,2200
Radisson Blu Hotel Kochi,https://cdn.venuelook.com/uploads/space_13404/1514372035_204x158.png,"Ernakulam, Kochi",banquet-halls,5.0,Rs. 2200 price per plat,"The Banquet Hall is perfect for
medium-sized events with big expectations. With seats for up to 400
people in a theater-style setting, the room and its atmosphere can be
turned to exactly the desired feel for presentations, parties and
weddings.",Banquet Hall,kochi,2200
Trident Hotel Cochin,https://cdn.venuelook.com/uploads/space_13417/1514374871_204x158.png,"Willingdon Island, Kochi",banquet-halls,5.0,Rs. 800 price per plat,"Meenachil is spread over 650 square feet and can accommodate up to 50
guests. Elegant interiors combined with superior technology and high
speed Internet make the venue perfect for business events. The room is
also an elegant choice for evening cocktails or an intimate sit-down
dinner.",Meenachil,kochi,800
Kochi Marriott Hotel,https://cdn.venuelook.com/uploads/space_13454/1514461409_204x158.png,"Edappally, Kochi",banquet-halls,5.0,Rs. 3000 price per plat,"Experience the best of Kochi with us. Ideally located on the campus of LuLu Mall, near the city's vibrant IT district, the Kochi Marriott Hotel welcomes you with a seamless blend of convenience and modern style. Our hotel is one of the tallest in the area, and includes a helipad; many of Kochi's most popular landmarks and attractions are only a short distance away, as is Cochin Airport. Settle in to your sophisticated room or suite, which showcases plush pillowtop bedding, a marble bathroom and 24-hour room service. Visit one of our on-site restaurants for a delicious meal, or relax by the outdoor pool and soak up the Kochi sun. You can also pamper yourself at Quan Spa, and enjoy a refreshing workout in our fitness center. If you're hosting an event here in Cochin, we offer almost 26,000 square feet of modern venue space and comprehensive planning services. And visit Cherai Beach and other points of interest with ease during your stay. We can't wait to make you feel at home at the Kochi Marriott Hotel.",Diamond Grand Ballroom,kochi,3000
Kochi Marriott Hotel,https://cdn.venuelook.com/uploads/space_13461/1514462096_204x158.png,"Edappally, Kochi",banquet-halls,5.0,Rs. 3000 price per plat,"Experience the best of Kochi with us. Ideally located on the campus of LuLu Mall, near the city's vibrant IT district, the Kochi Marriott Hotel welcomes you with a seamless blend of convenience and modern style. Our hotel is one of the tallest in the area, and includes a helipad; many of Kochi's most popular landmarks and attractions are only a short distance away, as is Cochin Airport. Settle in to your sophisticated room or suite, which showcases plush pillowtop bedding, a marble bathroom and 24-hour room service. Visit one of our on-site restaurants for a delicious meal, or relax by the outdoor pool and soak up the Kochi sun. You can also pamper yourself at Quan Spa, and enjoy a refreshing workout in our fitness center. If you're hosting an event here in Cochin, we offer almost 26,000 square feet of modern venue space and comprehensive planning services. And visit Cherai Beach and other points of interest with ease during your stay. We can't wait to make you feel at home at the Kochi Marriott Hotel.",Ruby,kochi,3000
Kochi Marriott Hotel,https://cdn.venuelook.com/uploads/space_13462/1514462341_204x158.png,"Edappally, Kochi",banquet-halls,5.0,Rs. 3000 price per plat,"Experience the best of Kochi with us. Ideally located on the campus of LuLu Mall, near the city's vibrant IT district, the Kochi Marriott Hotel welcomes you with a seamless blend of convenience and modern style. Our hotel is one of the tallest in the area, and includes a helipad; many of Kochi's most popular landmarks and attractions are only a short distance away, as is Cochin Airport. Settle in to your sophisticated room or suite, which showcases plush pillowtop bedding, a marble bathroom and 24-hour room service. Visit one of our on-site restaurants for a delicious meal, or relax by the outdoor pool and soak up the Kochi sun. You can also pamper yourself at Quan Spa, and enjoy a refreshing workout in our fitness center. If you're hosting an event here in Cochin, we offer almost 26,000 square feet of modern venue space and comprehensive planning services. And visit Cherai Beach and other points of interest with ease during your stay. We can't wait to make you feel at home at the Kochi Marriott Hotel.",Jade,kochi,3000
Kochi Marriott Hotel,https://cdn.venuelook.com/uploads/space_13464/1514463366_204x158.png,"Edappally, Kochi",banquet-halls,5.0,Rs. 3000 price per plat,"Experience the best of Kochi with us. Ideally located on the campus of LuLu Mall, near the city's vibrant IT district, the Kochi Marriott Hotel welcomes you with a seamless blend of convenience and modern style. Our hotel is one of the tallest in the area, and includes a helipad; many of Kochi's most popular landmarks and attractions are only a short distance away, as is Cochin Airport. Settle in to your sophisticated room or suite, which showcases plush pillowtop bedding, a marble bathroom and 24-hour room service. Visit one of our on-site restaurants for a delicious meal, or relax by the outdoor pool and soak up the Kochi sun. You can also pamper yourself at Quan Spa, and enjoy a refreshing workout in our fitness center. If you're hosting an event here in Cochin, we offer almost 26,000 square feet of modern venue space and comprehensive planning services. And visit Cherai Beach and other points of interest with ease during your stay. We can't wait to make you feel at home at the Kochi Marriott Hotel.",Coral,kochi,3000
Kochi Marriott Hotel,https://cdn.venuelook.com/uploads/space_13466/1514465680_204x158.png,"Edappally, Kochi",banquet-halls,5.0,Rs. 3000 price per plat,"Experience the best of Kochi with us. Ideally located on the campus of LuLu Mall, near the city's vibrant IT district, the Kochi Marriott Hotel welcomes you with a seamless blend of convenience and modern style. Our hotel is one of the tallest in the area, and includes a helipad; many of Kochi's most popular landmarks and attractions are only a short distance away, as is Cochin Airport. Settle in to your sophisticated room or suite, which showcases plush pillowtop bedding, a marble bathroom and 24-hour room service. Visit one of our on-site restaurants for a delicious meal, or relax by the outdoor pool and soak up the Kochi sun. You can also pamper yourself at Quan Spa, and enjoy a refreshing workout in our fitness center. If you're hosting an event here in Cochin, we offer almost 26,000 square feet of modern venue space and comprehensive planning services. And visit Cherai Beach and other points of interest with ease during your stay. We can't wait to make you feel at home at the Kochi Marriott Hotel.",Solitaire,kochi,3000
Hotel Yuvarani Residency,https://cdn.venuelook.com/uploads/space_13478/1514527462_204x158.png,"Ernakulam, Kochi",banquet-halls,3.0,Rs. 700 price per plat,"Capable of seating a maximum of 350 people in an audience, The Summit
is the largest banquet hall that we at Hotel Yuvarani Residency, MG
Road, Kochi, have to offer our guests.",The Summit,kochi,700
The Avenue Center Hotel,https://cdn.venuelook.com/uploads/space_13487/1514540712_204x158.png,"Panampilly Nagar, Kochi",banquet-halls,3.0,Rs. 700 price per plat,"At the Center Hotel we pride ourselves on the wide range of services
we offer, whether it is for weddings, private parties or anniversary
celebrations.",Chola,kochi,700
IMA House,https://cdn.venuelook.com/uploads/space_13495/1514544403_204x158.png,"Kaloor, Kochi",banquet-halls,4.0,Rs. 475 price per plat,"IMA House Cochin offers the perfect venues for hosting all your events in style. Choose from our fully equipped conference
halls, auditorium, board rooms and cabinet rooms to host conferences,
wedding parties, conventions and more. Our in-house catering services
and dedicated staff will ensure your events are a roaring success.
Chancellor Hall can accommodate 50 pax",Chancellor Hall,kochi,475
Paravoor Galaxy Hotels,https://cdn.venuelook.com/uploads/space_13505/1514616523_204x158.png,"North Paravur, Kochi",banquet-halls,4.0,Rs. 450 price per plat,Orion It is a medium banquet cum conference hall with aÂ  capacity ofÂ  100 to 150 pax,Orion,kochi,450
Paravoor Galaxy Hotels,https://cdn.venuelook.com/uploads/space_13506/1514616823_204x158.png,"North Paravur, Kochi",banquet-halls,4.0,Rs. 450 price per plat,"Polaris It is a large banquet cum conference hall with a capacity of 500 â 750 paxÂ 
Features:
A very large stageComfortable seatingAutomated screen",Polaris,kochi,450
The Gateway Hotel,https://cdn.venuelook.com/uploads/space_13523/1514889841_204x158.png,"Marine Drive, Kochi",banquet-halls,4.0,Rs. 2000 price per plat,"One of the largest pillar less halls in the city, it
is perfect for events, meetings, conferences. The venue can be extended
out onto the adjoining alfresco area which form a wonderful area for
conference lunches, parties and cocktails.",Waterfront,kochi,2000
Sara Hotels and Apartment,https://cdn.venuelook.com/uploads/space_13538/1514896451_204x158.png,"Angamaly, Kochi",banquet-halls,3.0,Rs. 350 price per plat,"âDo
business in style with banquet halls that overlook hotels near by Cochin
International Airport and facilities that take care of every business
need. The Sara Hotels and Apartments,Angamaly- Airport Road, features
versatile meeting and event spaces designed to accommodate up to 300
guests. Apart from this we also offer catering services for any outdoor
event like birthdays or receptions. We really do make sure that all your
requirements are looked after whether in the hotel or outside.",Banquet Hall,kochi,350
Mermaid Hotel,https://cdn.venuelook.com/uploads/space_13570/1514979162_204x158.png,"Vyttila, Kochi",banquet-halls,3.8,Rs. 425 price per plat,"With stunning views out across the Kochi skyline, Mermaid has two large conference halls which are fully equipped with the latest in audio/visual equipment and can accommodate up to 200 people and 150 people respectively. They can also be joined together to accommodate up to 350 people at once.",Large Conference Halls,kochi,425
Hotel Kabani International,https://cdn.venuelook.com/uploads/space_13583/1515145362_204x158.png,"Ernakulam, Kochi",banquet-halls,3.0,Rs. 450 price per plat,A small group of 100 people can be accommodated in a yet another hall CHANAKYA. Small business deals can also be made in our 10-seater hall.,Chanakya,kochi,450
Hotel VKJ International,https://cdn.venuelook.com/uploads/space_13611/1515153844_204x158.png,"Perumbavoor, Kochi",banquet-halls,3.0,Rs. 475 price per plat,"Travel to a new world, where a chorus of birds welcomes you, every
footstep is getting you a feel of calmness, the sunshine filter through
the trees to greet you warmly, this is a land located between the
branches of serene river Periyar, and this is Thattekkadu, the richest
habitat of birds in peninsular India. In the midst of this beautiful
nature is the precious castle, VKJ International. The star facilitated
hotel on the banks of river is a bridge to reach out to the nature and
habitat around.",NONE,kochi,475
Imperial Insignia,https://cdn.venuelook.com/uploads/space_13642/1515241220_204x158.png,"Ernakulam, Kochi",banquet-halls,4.0,Rs. 800 price per plat,"Located on the 6th Floor of the Imperial Insignia Banquets and Conferences, it provides a panoramic view into the city and the opening
into the Arabian sea. The columnless architecture provides a spacious
look and can comfortably accommodate upto 500 pax. The Vantage point also
features the state of the art technology and specialty lighting
providing pitch-perfect entertainment and sophistication. Granite and
Italian tiles adorn all the public areas,highlighting the foyer and
passageways and our expansive garden patio on both sides of the glass
paneled hall is perfect for cocktails and hor dâourves.",The Vantage point,kochi,800
The Avenue Regent,https://cdn.venuelook.com/uploads/space_13110/1512729903_204x158.png,"Ernakulam, Kochi",banquet-halls,4.0,Rs. 1200 price per plat,"The recently renovated Regent Hall is spacious and grand with high
ceilings and silk wall-panelings. This pillar-less hall is ideal for
wedding receptions and large conferences accommodating upto 200 seats in
a theatre style arrangement.",The Regent Hall,kochi,1200
Pearl Palace,https://cdn.venuelook.com/uploads/space_13175/1513163971_204x158.png,"Ernakulam, Kochi",banquet-halls,3.7,Rs. 850 price per plat,"There is a huge Banquet Hall naming Pearl Banquet at Hotel Pearl Palace, Kochi, which is decorated keeping modernity in mind. The hall can accommodate more than 200 people and comprises of a Board Room and a Theatre.",NONE,kochi,850
Hotel Excellency,https://cdn.venuelook.com/uploads/space_14057/1518263673_204x158.png,"Ernakulam, Kochi",banquet-halls,3.5,Rs. 250 price per plat,"The Hotel Excellency is a very graceful hotel renowned for its hospitality.Â  Catering to the needs of the business travelers as well as tourists who come to explore Cochin, Excellency is a budget hotel with most modern facilities at an affordable tariff.",NONE,kochi,250
The Markz Inn,https://cdn.venuelook.com/uploads/space_14070/1518269037_204x158.png,"Ernakulam, Kochi",banquet-halls,3.7,Rs. 500 price per plat,"The hotel has a majestic conference hall which can comfortably
accommodate around 60 to 70 people. The conference hall is ideal for all
kinds of corporate and business events.",Geeth Conference Hall,kochi,500
Elegance Resort,https://cdn.venuelook.com/uploads/space_38278/1709981290_204x158.png,"Vrindavan, Mathura",banquet-halls,4.8,Rs. 700 price per plat,"Near Star World Mall,
Elegance Resort is a renowned hotel located in Vrindavan, Uttar Pradesh. The hotel is conveniently situated near major attractions in Vrindavan, including temples associated with Lord Krishna.Accommodations at Elegance ResortÂ range from well-appointed rooms to suites, catering to various types of travelers. Guests can indulge in delicious cuisine at the on-site restaurants, offering a variety of Indian, Chinese, and continental dishes.The hotel features banquet and event facilities suitable for weddings, conferences, and social gatherings. With spacious banquet halls and outdoor venues, Elegance ResortÂ can accommodate large groups. Guests can also enjoy recreational facilities such as a swimming pool, fitness center.",Ladli Mahal Banquet,mathura,700
Elegance Resort,https://cdn.venuelook.com/uploads/space_38279/1709981438_204x158.png,"Vrindavan, Mathura",banquet-halls,4.8,Rs. 700 price per plat,"Near Star World Mall,
Elegance Resort is a renowned hotel located in Vrindavan, Uttar Pradesh. The hotel is conveniently situated near major attractions in Vrindavan, including temples associated with Lord Krishna.Accommodations at Elegance ResortÂ range from well-appointed rooms to suites, catering to various types of travelers. Guests can indulge in delicious cuisine at the on-site restaurants, offering a variety of Indian, Chinese, and continental dishes.The hotel features banquet and event facilities suitable for weddings, conferences, and social gatherings. With spacious banquet halls and outdoor venues, Elegance ResortÂ can accommodate large groups. Guests can also enjoy recreational facilities such as a swimming pool, fitness center.",Leela Banquet,mathura,700
Hotel Kridha Residency,https://cdn.venuelook.com/uploads/space_17406/1550820788_204x158.png,"Vrindavan, Mathura",banquet-halls,3.8,Rs. 1200 price per plat,"Hotel Kridha Residency is a 50 rooms & suites Boutique Hotel in Vrindavan, Mathura (U.P), India. RUKMANI GRAND BANQUETS True with its tagline â Vrindavanâs Best Surprise- Your Event Our Venueâ, have most exquisite banquet halls that are truly an affair of a lifetime venue on the Bhaktivedanta Swami Marg, opposite Prem Mandir. Our venue is a ""one stop shop"" as we have tie-ups with various event planners who can customize your events for any occasions. We have a dedicated full service kitchen with experienced chefs. Gleaming with opulence & divine aura the state-of-the-art venue will redefine Banqueting facilities and events in the city.Â Â â¢ Capacity- 500 paxÂ  with 03 Hallsâ¢ Fully Air-conditionedâ¢ 02 Elevator Accessâ¢ 100 % Power Back-up & Solar EnergizedÂ â¢ Contemporary Decor with rustic influence from Vrindavanâ¢ Latest Media/ Audio-Visual Set-upâ¢ In-House Catering from Dedicated Kitchen with Experienced Chefsâ¢ Handicap Friendlyâ¢ Dedicated Parkingâ¢ Tour & Travel Planner Deskâ¢ Safe & Secured premises with manned guards & CCTVâ¢ 100% Vastu Certified",Hall I,mathura,1200
Sks Grand Palace,https://cdn.venuelook.com/uploads/space_17420/1550834911_204x158.png,"Vrindavan, Mathura",banquet-halls,4.4,Rs. 1000 price per plat,"Make your dream of a royal wedding come true with SKS Grandâs best wedding resort in Mathura on your side. Our banquet hall in Mathura is surrounded with magnificent lush green lawns having an impressive grandeur and facility to make your special day more happening and extravagant. With modern catering amenities, SKS Grandâs marriage garden in Mathura is your one-stop-grand destination for celebrating any occasions. We are here to make your wedding a lifetime memory to cherish.",NONE,mathura,1000
Adishri Palace,https://cdn.venuelook.com/uploads/space_31885/1654925026_204x158.png,"Masani Road, Mathura",banquet-halls,2.0,Rs. 550 price per plat,"Adishri Palace, Mathura, is a beautiful and budget-friendly destination perfect to tie the knot with the love of your life. Whether you are hosting a small party or a grand celebration, the venue is well-equipped to manage all your events seamlessly.",Hall,mathura,550
Hotel Heera Kunj Residency,https://cdn.venuelook.com/uploads/space_31894/1655100098_204x158.png,"Dampier Nagar, Mathura",banquet-halls,2.0,Rs. 850 price per plat,"Looking for a budget-friendly venue that hosts various events? Hotel Heera Kunj Residency, Mathura, is the end of your search as the venue offers a banquet hall perfect any small gatherings like pre-wedding ceremonies, social events, corporate events, intimate weddings, birthdays, and anniversaries. The hall can hold a fair number of patrons.",Banquet Hall,mathura,850
Hotel Duke Palace,https://cdn.venuelook.com/uploads/space_31770/1654328204_204x158.png,"Masani Road, Mathura",banquet-halls,2.0,Rs. 800 price per plat,"Hotel Duke Palace, Mathura, is a wonderful 3-star hotel perfect for organizing varied events as it offers a lush lawn and a duo of banquet halls. Birthdays, anniversaries, get-togethers, pre-wedding festivities, wedding as well as reception all can be sorted here. The incredible ambiance and the stylish decor of this place are likely to add a unique touch to any occasion held.",Hall 2,mathura,800
Hotel Kridha Residency,https://cdn.venuelook.com/uploads/space_17407/1550821135_204x158.png,"Vrindavan, Mathura",banquet-halls,3.8,Rs. 1200 price per plat,"Hotel Kridha Residency is a 50 rooms & suites Boutique Hotel in Vrindavan, Mathura (U.P), India. RUKMANI GRAND BANQUETS True with its tagline â Vrindavanâs Best Surprise- Your Event Our Venueâ, have most exquisite banquet halls that are truly an affair of a lifetime venue on the Bhaktivedanta Swami Marg, opposite Prem Mandir. Our venue is a ""one stop shop"" as we have tie-ups with various event planners who can customize your events for any occasions. We have a dedicated full service kitchen with experienced chefs. Gleaming with opulence & divine aura the state-of-the-art venue will redefine Banqueting facilities and events in the city.Â Â â¢ Capacity- 500 paxÂ  with 03 Hallsâ¢ Fully Air-conditionedâ¢ 02 Elevator Accessâ¢ 100 % Power Back-up & Solar EnergizedÂ â¢ Contemporary Decor with rustic influence from Vrindavanâ¢ Latest Media/ Audio-Visual Set-upâ¢ In-House Catering from Dedicated Kitchen with Experienced Chefsâ¢ Handicap Friendlyâ¢ Dedicated Parkingâ¢ Tour & Travel Planner Deskâ¢ Safe & Secured premises with manned guards & CCTVâ¢ 100% Vastu Certified",Hall II,mathura,1200
Regal Hotal And Restaurant,https://cdn.venuelook.com/uploads/space_31830/1654519815_204x158.png,"Masani Road, Mathura",banquet-halls,2.0,Rs. 750 price per plat,"The relaxing atmosphere of the Regal Hotel & Restaurant, Mathura offers you warm attentive service by our trained and friendly staff.An ideal accommodation place for Visitors, tourists, pilgrims coming to Mathura. We offer staying , dining, Meeting & small gathering and Transportation services to visitors and corporates in an amicable environment.",Hall,mathura,750
Agrawal Restaurant,https://cdn.venuelook.com/uploads/space_31845/1654669553_204x158.png,"National Highway 2, Mathura",banquet-halls,2.0,Rs. 650 price per plat,"Agrawal Restaurant, Mathura has all the things you need to plan and execute a successful party and impress all your attendees. Perfect for events like a birthday party, anniversary party, social gathering, formal gathering, or a pre-wedding ceremony, the venue becomes the first preference once given a chance.",Hall,mathura,650
Hotel Lotus Grand,https://cdn.venuelook.com/uploads/space_31890/1654943546_204x158.png,"Masani Road, Mathura",banquet-halls,2.0,Rs. 750 price per plat,"Hotel Lotus Grand, Mathura is one of the decent hotels in the area ideal for holding a birthday party, anniversary, engagement event, pre-wedding rituals, wedding, and reception ceremony, etc. This venue offers a couple of banquet halls and a lawn apt for a private to an average-sized and Big-sized celebration. It is likewise a great option for all corporate events.",Banquet Hall,mathura,750
